cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,total_workers,worker_to_jobloss_rate,cbsa_cbsaName
44100,"Springfield, IL",6141,0.0,37.8,6.7,56.6,270.7,108.2,472.1,6.9,130.6,126.9,68.2,168.2,32.8,204.6,674.2,760.6,340.4,1709.5,262.3,703.2,97102,0.06324,"44100, Springfield, IL"
45900,"Traverse City, MI",4536,0.0,10.5,7.2,15.8,500.4,92.1,372.2,-4.4,138.4,-12.1,55.7,23.9,4.0,286.5,158.5,831.7,192.0,1445.2,308.5,109.2,63605,0.07131,"45900, Traverse City, MI"
48780,"Williston, ND",2358,0.0,1668.9,6.1,98.1,20.9,53.0,3.0,86.1,3.3,13.2,21.4,72.1,0.1,67.3,-17.1,80.6,16.0,144.0,20.8,0.6,20961,0.11252,"48780, Williston, ND"
10300,"Adrian, MI",2801,0.0,0.9,4.7,7.4,828.3,56.8,132.5,-10.9,60.7,-2.6,25.0,-0.3,3.8,226.6,160.6,365.5,104.5,553.7,176.5,107.2,39494,0.07092,"10300, Adrian, MI"
12220,"Auburn-Opelika, AL",2176,0.0,10.5,0.1,203.5,113.0,37.1,62.0,-1.2,11.4,0.4,30.1,-32.5,18.8,192.0,904.8,164.9,53.3,273.9,118.9,14.7,59043,0.03685,"12220, Auburn-Opelika, AL"
13020,"Bay City, MI",3156,0.0,-1.0,8.9,8.0,495.4,68.0,213.3,-8.9,67.8,-1.3,36.1,21.6,9.9,330.8,115.2,553.8,145.3,777.2,227.7,87.9,43515,0.07252,"13020, Bay City, MI"
15180,"Brownsville-Harlingen, TX",3346,0.0,350.7,-11.3,516.9,333.3,41.2,271.8,-276.0,89.7,-108.5,35.7,-163.2,22.3,-33.1,39.7,923.5,296.3,678.2,287.4,51.3,149389,0.0224,"15180, Brownsville-Harlingen, TX"
19500,"Decatur, IL",2680,0.0,3.3,6.4,38.9,293.3,37.1,137.5,-22.7,73.8,56.3,28.4,56.1,7.7,73.6,266.2,431.4,168.2,809.1,125.0,91.0,44160,0.0607,"19500, Decatur, IL"
19860,"Dickinson, ND",1536,0.0,887.8,4.5,82.0,64.8,36.9,3.1,67.9,4.9,13.2,8.8,63.3,0.2,42.0,-15.6,101.7,19.6,127.8,22.5,0.5,17935,0.08563,"19860, Dickinson, ND"
20100,"Dover, DE",3255,0.0,2.9,-6.9,106.5,502.4,-13.3,-5.3,-212.7,42.0,68.2,57.1,-57.7,19.0,673.6,509.2,521.2,-18.0,814.0,235.4,17.0,75021,0.04338,"20100, Dover, DE"
21220,"Elko, NV",547,0.0,-606.0,-7.8,85.9,-17.2,-46.3,-91.5,-69.4,28.9,-6.4,20.1,-11.9,75.3,35.4,121.8,67.7,88.3,816.4,27.7,35.5,24605,0.02221,"21220, Elko, NV"
25260,"Hanford-Corcoran, CA",2983,0.0,16.7,5.1,71.7,304.9,39.5,158.7,-43.7,48.3,18.6,40.3,7.4,16.2,100.8,491.4,60.8,537.8,788.5,176.2,143.6,50196,0.05942,"25260, Hanford-Corcoran, CA"
28100,"Kankakee, IL",2843,0.0,5.0,3.1,40.4,352.8,72.0,196.3,-125.6,34.7,45.0,35.2,78.5,14.1,143.7,335.1,486.1,168.3,773.1,107.0,78.1,49818,0.05707,"28100, Kankakee, IL"
29700,"Laredo, TX",1985,0.0,838.7,-8.2,267.4,59.1,36.7,217.3,-624.9,75.4,-72.7,21.8,-130.9,7.0,-4.0,79.4,357.3,207.2,444.9,183.0,31.0,101971,0.01947,"29700, Laredo, TX"
30140,"Lebanon, PA",4093,0.0,5.9,7.9,216.4,443.2,118.3,188.8,19.1,71.9,48.8,7.1,-37.3,42.8,520.1,152.4,604.1,494.9,899.5,240.3,49.2,65890,0.06212,"30140, Lebanon, PA"
30700,"Lincoln, NE",2171,0.0,0.9,0.2,49.5,-346.4,65.6,219.0,157.0,260.5,257.6,41.6,-205.8,-30.9,558.2,-604.2,4.0,352.5,838.1,338.2,215.7,163656,0.01327,"30700, Lincoln, NE"
33500,"Minot, ND",2118,0.0,813.2,7.4,125.5,41.2,81.6,7.8,87.4,11.0,47.4,16.0,112.6,0.2,130.6,-44.5,281.0,32.2,320.9,45.5,1.1,35464,0.05973,"33500, Minot, ND"
36780,"Oshkosh-Neenah, WI",3091,0.0,-0.6,0.5,128.9,447.3,67.1,139.0,-167.3,-17.7,166.2,-3.3,-13.1,-0.3,157.8,269.9,396.9,295.8,893.7,110.7,219.6,86514,0.03573,"36780, Oshkosh-Neenah, WI"
39460,"Punta Gorda, FL",2076,0.0,-2.2,3.6,-4.1,16.8,55.4,176.8,44.4,42.5,-60.8,30.2,-209.0,26.9,251.4,-51.4,269.1,422.9,872.2,120.2,71.2,58285,0.03562,"39460, Punta Gorda, FL"
39540,"Racine, WI",3252,0.0,1.7,1.9,145.4,171.5,102.0,146.2,-165.6,56.5,149.3,2.9,3.3,-0.2,20.8,302.2,477.7,475.6,978.5,130.8,251.7,101018,0.03219,"39540, Racine, WI"
43620,"Sioux Falls, SD",940,0.0,-38.3,0.9,-444.5,-29.9,99.5,-192.3,150.3,394.1,423.8,9.8,-4.8,-4.2,-19.3,-714.7,339.8,172.8,938.8,-144.3,2.1,139855,0.00672,"43620, Sioux Falls, SD"
